accuracy,log_loss,brier_score,model
<<<<<<< HEAD
0.573208722741433,0.8941566395573646,0.5290435512125415,challenger_poisson
0.5768431983385255,0.9015439931572173,0.5335831020356121,challenger_logistic
0.5768431983385255,0.9067327363544104,0.5356993583889589,champion_xgboost
0.5742471443406023,0.9837397207667241,0.5647506992973906,challenger_lightgbm
=======
0.5737279335410177,0.8944543290602048,0.5290239424531515,challenger_poisson
0.5768431983385255,0.9014164582777547,0.533377785866819,challenger_logistic
0.5758047767393562,0.9076663343366732,0.536292717096256,champion_xgboost
0.5654205607476636,0.9818624298423745,0.5641185026877619,challenger_lightgbm
>>>>>>> 47be714bea7090c2a62dcd5043b48d971444c88d
